STATE,District Name,Commodity,Modal_Price,Date,Price_per_kg,Price_display
Andhra Pradesh,adilabad,Onion,700.0,31-May-2025,7.0,₹ 7.0 / kg
Andhra Pradesh,hyderabad,Potato,1826.190476190476,30-Jun-2025,18.26,₹ 18.26 / kg
Andhra Pradesh,karimnagar,Potato,2500.0,31-May-2025,25.0,₹ 25.0 / kg
Andhra Pradesh,krishna,Rice,4645.0,30-Jun-2025,46.45,₹ 46.45 / kg
Andhra Pradesh,kurnool,Onion,605.0,30-Jun-2025,6.05,₹ 6.05 / kg
Andhra Pradesh,mahbubnagar,Onion,2000.0,31-May-2025,20.0,₹ 20.0 / kg
Andhra Pradesh,mahbubnagar,Potato,2833.333333333333,30-Jun-2025,28.33,₹ 28.33 / kg
Andhra Pradesh,medak,Onion,1288.5,30-Jun-2025,12.88,₹ 12.88 / kg
Andhra Pradesh,medak,Potato,1200.0,31-May-2025,12.0,₹ 12.0 / kg
Andhra Pradesh,warangal,Potato,2545.454545454545,30-Jun-2025,25.45,₹ 25.45 / kg
Assam,dhubri,Potato,910.0,28-Feb-2025,9.1,₹ 9.1 / kg
Assam,goalpara,Potato,1100.043,31-May-2025,11.0,₹ 11.0 / kg
Assam,jorhat,Potato,1133.3333333333333,31-May-2025,11.33,₹ 11.33 / kg
Assam,lakhimpur,Onion,1151.7391304347825,30-Jun-2025,11.52,₹ 11.52 / kg
Assam,lakhimpur,Potato,1186.5217391304348,30-Jun-2025,11.87,₹ 11.87 / kg
Assam,lakhimpur,Rice,3183.0,30-Jun-2025,31.83,₹ 31.83 / kg
Assam,nalbari,Potato,1100.0,31-Mar-2025,11.0,₹ 11.0 / kg
Assam,sonitpur,Potato,1066.6666666666667,31-May-2025,10.67,₹ 10.67 / kg
Bihar,araria,Potato,1300.0,30-Jun-2025,13.0,₹ 13.0 / kg
Bihar,banka,Onion,2200.0,30-Jun-2025,22.0,₹ 22.0 / kg
Bihar,bhojpur,Onion,1448.0,30-Jun-2025,14.48,₹ 14.48 / kg
Bihar,bhojpur,Potato,1554.7435897435898,31-May-2025,15.55,₹ 15.55 / kg
Bihar,buxar,Potato,1450.0,31-May-2025,14.5,₹ 14.5 / kg
Bihar,jamui,Onion,1275.0,31-May-2025,12.75,₹ 12.75 / kg
Bihar,jamui,Potato,1200.0,31-May-2025,12.0,₹ 12.0 / kg
Bihar,jehanabad,Onion,1500.0,31-May-2025,15.0,₹ 15.0 / kg
Bihar,jehanabad,Potato,1700.0,31-May-2025,17.0,₹ 17.0 / kg
Bihar,khagaria,Onion,1920.0,31-May-2025,19.2,₹ 19.2 / kg
Bihar,kishanganj,Onion,2300.0,31-May-2025,23.0,₹ 23.0 / kg
Bihar,kishanganj,Potato,2050.0,31-May-2025,20.5,₹ 20.5 / kg
Bihar,madhepura,Onion,2341.6666666666665,31-May-2025,23.42,₹ 23.42 / kg
Bihar,madhepura,Potato,1288.888888888889,31-May-2025,12.89,₹ 12.89 / kg
Bihar,madhubani,Onion,2255.555555555556,31-May-2025,22.56,₹ 22.56 / kg
Bihar,madhubani,Potato,1871.428571428572,31-May-2025,18.71,₹ 18.71 / kg
Bihar,muzaffarpur,Onion,3100.0,31-Mar-2025,31.0,₹ 31.0 / kg
Bihar,muzaffarpur,Potato,1900.0,31-May-2025,19.0,₹ 19.0 / kg
Bihar,patna,Onion,4120.0,31-Mar-2025,41.2,₹ 41.2 / kg
Bihar,patna,Potato,1680.0,31-Mar-2025,16.8,₹ 16.8 / kg
Bihar,rohtas,Onion,1752.3809523809523,31-May-2025,17.52,₹ 17.52 / kg
Bihar,rohtas,Potato,900.0,31-May-2025,9.0,₹ 9.0 / kg
Bihar,samastipur,Onion,1584.6153846153843,31-May-2025,15.85,₹ 15.85 / kg
Bihar,sheohar,Onion,2170.3703703703704,31-May-2025,21.7,₹ 21.7 / kg
Bihar,sheohar,Potato,1918.5185185185185,31-May-2025,19.19,₹ 19.19 / kg
Bihar,vaishali,Potato,2785.714285714286,31-Jan-2025,27.86,₹ 27.86 / kg
Chandigarh,chandigarh,Onion,1064.7058823529412,31-May-2025,10.65,₹ 10.65 / kg
Chandigarh,chandigarh,Potato,558.8235294117648,31-May-2025,5.59,₹ 5.59 / kg
Chattisgarh,dhamtari,Onion,1287.5,31-May-2025,12.88,₹ 12.88 / kg
Chattisgarh,dhamtari,Potato,1712.5,31-May-2025,17.12,₹ 17.12 / kg
Chattisgarh,durg,Onion,1447.6190476190477,31-May-2025,14.48,₹ 14.48 / kg
Chattisgarh,durg,Potato,1828.571428571429,31-May-2025,18.29,₹ 18.29 / kg
Chattisgarh,rajnandgaon,Onion,1004.1666666666666,31-May-2025,10.04,₹ 10.04 / kg
Chattisgarh,rajnandgaon,Potato,1676.3157894736842,31-May-2025,16.76,₹ 16.76 / kg
Chhattisgarh,bilaspur,Onion,1582.3529411764705,31-May-2025,15.82,₹ 15.82 / kg
Chhattisgarh,bilaspur,Potato,1370.0,31-May-2025,13.7,₹ 13.7 / kg
Delhi,delhi,Onion,1054.9733333333334,31-May-2025,10.55,₹ 10.55 / kg
Delhi,delhi,Potato,1048.407894736842,31-May-2025,10.48,₹ 10.48 / kg
Delhi,delhi,Rice,5450.666666666667,31-May-2025,54.51,₹ 54.51 / kg
Gao,north goa,Potato,2000.0,31-May-2025,20.0,₹ 20.0 / kg
Gujarat,ahmedabad,Onion,1065.7407407407406,31-May-2025,10.66,₹ 10.66 / kg
Gujarat,ahmedabad,Potato,1349.6478873239437,31-May-2025,13.5,₹ 13.5 / kg
Gujarat,anand,Onion,1369.977777777778,31-May-2025,13.7,₹ 13.7 / kg
Gujarat,anand,Potato,1285.5555555555557,31-May-2025,12.86,₹ 12.86 / kg
Gujarat,bharuch,Onion,1133.3333333333333,31-May-2025,11.33,₹ 11.33 / kg
Gujarat,bharuch,Potato,1458.0,31-May-2025,14.58,₹ 14.58 / kg
Gujarat,bhavnagar,Onion,684.6491228070175,31-May-2025,6.85,₹ 6.85 / kg
Gujarat,bhavnagar,Potato,2322.5,31-May-2025,23.22,₹ 23.22 / kg
Gujarat,dahod,Onion,1116.1290322580646,31-May-2025,11.16,₹ 11.16 / kg
Gujarat,dahod,Potato,1306.451612903226,31-May-2025,13.06,₹ 13.06 / kg
